Site,Sp,Seedlot_label,plantingyear,assessment_date_qual,num_planted,best.ht,mean.ht.survived,survival.rate,mean.perform,rating,rating_new,assessor_name_qual,SiteName,BECvar,longitude,latitude
BARN,Ba,BC_South_Int,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Barnhartvale,PPxh2,-120.14222,50.65286
BARN,Bg,Kootenay,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Barnhartvale,PPxh2,-120.14222,50.65286
BARN,Bl,BC_South_Int,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Barnhartvale,PPxh2,-120.14222,50.65286
BARN,Cw,Cw_Kootenay,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Barnhartvale,PPxh2,-120.14222,50.65286
BARN,Ep,BC_South_Int,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Barnhartvale,PPxh2,-120.14222,50.65286
BARN,Fdc,SpringfieldOR,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Barnhartvale,PPxh2,-120.14222,50.65286
BARN,Fdi,63058,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Barnhartvale,PPxh2,-120.14222,50.65286
BARN,Hw,Monashee,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Barnhartvale,PPxh2,-120.14222,50.65286
BARN,Lw,ID_WA_north,2009,2019,100,2.66,2.66,1,0.03,5_Fail,4_Poor,Data,Barnhartvale,PPxh2,-120.14222,50.65286
BARN,Pl,63018,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Barnhartvale,PPxh2,-120.14222,50.65286
BARN,Pw,60785,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Barnhartvale,PPxh2,-120.14222,50.65286
BARN,Py,BC_south_Int,2009,2019,100,2.23,1.5,8,0.12,5_Fail,5_Fail,Data,Barnhartvale,PPxh2,-120.14222,50.65286
BARN,Sx,60156,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Barnhartvale,PPxh2,-120.14222,50.65286
BULL,At,BC_South_Int,2010,2020,100,2.95,1.26,67,0.84,4_Poor,4_Poor,Data,Bulldog,ESSFdc1,-118.02439,49.28256
BULL,Cw,63035,2010,2020,100,1.28,0.85,11,0.09,5_Fail,5_Fail,Data,Bulldog,ESSFdc1,-118.02439,49.28256
BULL,Ep,BC_South_Int,2010,2020,100,2.52,1.28,24,0.31,5_Fail,5_Fail,Data,Bulldog,ESSFdc1,-118.02439,49.28256
BULL,Fdc,SpringfieldOR,2010,2020,100,0,0,0,0,5_Fail,5_Fail,Data,Bulldog,ESSFdc1,-118.02439,49.28256
BULL,Fdi,Local,2010,2020,100,3.06,1.09,79,0.86,3_Fair,3_Fair,Data,Bulldog,ESSFdc1,-118.02439,49.28256
BULL,Hw,61354,2010,2020,100,0,0,0,0,5_Fail,5_Fail,Data,Bulldog,ESSFdc1,-118.02439,49.28256
BULL,Lw,Local,2010,2020,80,3.53,1.97,78,1.53,3_Fair,3_Fair,Data,Bulldog,ESSFdc1,-118.02439,49.28256
BULL,Pl,63058,2010,2020,20,2.22,1.48,90,1.34,3_Fair,3_Fair,Data,Bulldog,ESSFdc1,-118.02439,49.28256
BULL,Pw,61256,2010,2020,100,2.03,1.14,77,0.88,3_Fair,3_Fair,Data,Bulldog,ESSFdc1,-118.02439,49.28256
BULL,Py,BC_south_Int,2010,2020,100,2.43,1.46,64,0.93,4_Poor,4_Poor,Data,Bulldog,ESSFdc1,-118.02439,49.28256
BULL,Sx,60777,2010,2020,80,2.77,1.52,94,1.42,3_Fair,2_Good,Data,Bulldog,ESSFdc1,-118.02439,49.28256
CHUR,At,BC_South_Int,2010,2020,100,1.65,0.77,72,0.55,4_Poor,4_Poor,Data,Churn Creek,MSxv,-122.57277,51.33472
CHUR,Bg,Kootenay,2010,2020,100,0.47,0.23,55,0.13,4_Poor,4_Poor,Data,Churn Creek,MSxv,-122.57277,51.33472
CHUR,Cw,Cw_Kootenay,2010,2020,100,0,0,0,0,5_Fail,5_Fail,Data,Churn Creek,MSxv,-122.57277,51.33472
CHUR,Fdc,LongviewWA,2010,2020,100,0,0,0,0,5_Fail,5_Fail,Data,Churn Creek,MSxv,-122.57277,51.33472
CHUR,Fdi,63058,2010,2020,100,0.68,0.37,7,0.03,5_Fail,5_Fail,Data,Churn Creek,MSxv,-122.57277,51.33472
CHUR,Hw,61145,2010,2020,100,0,0,0,0,5_Fail,5_Fail,Data,Churn Creek,MSxv,-122.57277,51.33472
CHUR,Lw,OR_central,2010,2020,100,1.72,0.68,80,0.55,3_Fair,4_Poor,Data,Churn Creek,MSxv,-122.57277,51.33472
CHUR,Pl,63056,2010,2020,100,4,1.44,96,1.38,3_Fair,3_Fair,Data,Churn Creek,MSxv,-122.57277,51.33472
CHUR,Pw,60785,2010,2020,100,0.4,0.21,48,0.1,4_Poor,4_Poor,Data,Churn Creek,MSxv,-122.57277,51.33472
CHUR,Ss,63025,2010,2020,100,0.14,0.14,1,0,5_Fail,5_Fail,Data,Churn Creek,MSxv,-122.57277,51.33472
CHUR,Sx,60752,2010,2020,100,2.06,0.84,87,0.73,3_Fair,3_Fair,Data,Churn Creek,MSxv,-122.57277,51.33472
CHUR,Yc,Kootenay,2010,2020,100,0.2,0.18,4,0.01,5_Fail,5_Fail,Data,Churn Creek,MSxv,-122.57277,51.33472
CRAN,Bl,BC_South_Int,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Cranbrook,PPdh2,-115.64333,49.55778
CRAN,Cw,Cw_Kootenay,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Cranbrook,PPdh2,-115.64333,49.55778
CRAN,Fdc,LongviewWA,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Cranbrook,PPdh2,-115.64333,49.55778
CRAN,Fdi,Local,2009,2019,100,1.82,1.08,11,0.12,5_Fail,5_Fail,Data,Cranbrook,PPdh2,-115.64333,49.55778
CRAN,Hw,Monashee,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Cranbrook,PPdh2,-115.64333,49.55778
CRAN,Lw,Local,2009,2019,100,3.83,2.84,10,0.28,5_Fail,4_Poor,Data,Cranbrook,PPdh2,-115.64333,49.55778
CRAN,Pl,63055,2009,2019,100,4.84,2.98,29,0.86,4_Poor,4_Poor,Data,Cranbrook,PPdh2,-115.64333,49.55778
CRAN,Pw,61256,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Cranbrook,PPdh2,-115.64333,49.55778
CRAN,Py,BC_south_Int,2009,2019,100,3.67,2.8,7,0.2,5_Fail,4_Poor,Data,Cranbrook,PPdh2,-115.64333,49.55778
CRAN,Ss,63025,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Cranbrook,PPdh2,-115.64333,49.55778
CRAN,Sx,63063,2009,2019,100,3.2,1.61,17,0.27,5_Fail,4_Poor,Data,Cranbrook,PPdh2,-115.64333,49.55778
CRAN,Yc,Kootenay,2009,2019,100,0,0,0,0,5_Fail,5_Fail,Data,Cranbrook,PPdh2,-115.64333,49.55778
DEEP,At,BC_South_Int,2009,2019,100,8.35,3.3,87,2.87,2_Good,3_Fair,Data,Deep Creek,IDFmw1,-119.28278,50.55889
DEEP,Bg,Kootenay,2009,2019,100,4.65,2.44,63,1.54,3_Fair,3_Fair,Data,Deep Creek,IDFmw1,-119.28278,50.55889
DEEP,Cw,Cw_Kootenay,2009,2019,100,1.31,1.04,3,0.03,5_Fail,5_Fail,Data,Deep Creek,IDFmw1,-119.28278,50.55889
DEEP,Ep,BC_South_Int,2009,2019,100,8.22,3.52,60,2.11,3_Fair,4_Poor,Data,Deep Creek,IDFmw1,-119.28278,50.55889
DEEP,Fdi,63058,2009,2019,100,5.77,3.84,37,1.42,4_Poor,3_Fair,Data,Deep Creek,IDFmw1,-119.28278,50.55889
DEEP,Hw,Monashee,2009,2019,100,2.85,1.56,30,0.47,4_Poor,4_Poor,Data,Deep Creek,IDFmw1,-119.28278,50.55889
DEEP,Lw,ID_WA_north,2009,2019,100,8.04,6.02,78,4.7,1_Excellent,1_Excellent,Data,Deep Creek,IDFmw1,-119.28278,50.55889
DEEP,Pl,63056,2009,2019,100,5.9,4.33,82,3.55,2_Good,2_Good,Data,Deep Creek,IDFmw1,-119.28278,50.55889
DEEP,Pw,60785,2009,2019,100,4.16,2.61,65,1.7,3_Fair,2_Good,Data,Deep Creek,IDFmw1,-119.28278,50.55889
DEEP,Sx,61233,2009,2019,100,4.14,2.5,80,2,3_Fair,1_Excellent,Data,Deep Creek,IDFmw1,-119.28278,50.55889
DEEP,Yc,Kootenay,2009,2019,100,2.7,1.3,53,0.69,4_Poor,4_Poor,Data,Deep Creek,IDFmw1,-119.28278,50.55889
FLET,At,BC_South_Int,2010,2020,100,1.32,0.54,72,0.39,4_Poor,4_Poor,Data,Fletcher  Lake,IDFdk4,-123.04494,51.77978
FLET,Cw,Cw_Kootenay,2010,2020,100,0,0,0,0,5_Fail,5_Fail,Data,Fletcher  Lake,IDFdk4,-123.04494,51.77978
FLET,Ep,BC_South_Int,2010,2020,100,0,0,0,0,5_Fail,5_Fail,Data,Fletcher  Lake,IDFdk4,-123.04494,51.77978
FLET,Fdc,CoosBayOR,2010,2020,100,0,0,0,0,5_Fail,5_Fail,Data,Fletcher  Lake,IDFdk4,-123.04494,51.77978
FLET,Fdi,ID_north,2010,2020,100,0,0,0,0,5_Fail,5_Fail,Data,Fletcher  Lake,IDFdk4,-123.04494,51.77978
FLET,Hw,61145,2010,2020,100,0,0,0,0,5_Fail,5_Fail,Data,Fletcher  Lake,IDFdk4,-123.04494,51.77978
FLET,Lw,60773,2010,2020,100,0,0,0,0,5_Fail,5_Fail,Data,Fletcher  Lake,IDFdk4,-123.04494,51.77978
FLET,Pl,63056,2010,2020,100,3.06,1.81,91,1.65,3_Fair,3_Fair,Data,Fletcher  Lake,IDFdk4,-123.04494,51.77978
FLET,Py,BC_south_Int,2010,2020,100,1.26,0.47,72,0.34,4_Poor,4_Poor,Data,Fletcher  Lake,IDFdk4,-123.04494,51.77978
FLET,Ss,63025,2010,2020,100,0,0,0,0,5_Fail,5_Fail,Data,Fletcher  Lake,IDFdk4,-123.04494,51.77978
FLET,Sx,63103,2010,2020,100,0.58,0.17,54,0.09,4_Poor,4_Poor,Data,Fletcher  Lake,IDFdk4,-123.04494,51.77978
FLET,Yc,Kootenay,2010,2020,100,0,0,0,0,5_Fail,5_Fail,Data,Fletcher  Lake,IDFdk4,-123.04494,51.77978
FNEL,At,BC_South_Int,2012,2022,75,1.75,0.99,29,0.29,4_Poor,4_Poor,Data,Fort Nelson,BWBSmk,-123.15167,59.105
FNEL,Bg,Kootenay,2012,2022,100,0.48,0.35,7,0.02,5_Fail,5_Fail,Data,Fort Nelson,BWBSmk,-123.15167,59.105
FNEL,Bl,BC_South_Int,2012,2022,75,0.75,0.42,52,0.22,4_Poor,4_Poor,Data,Fort Nelson,BWBSmk,-123.15167,59.105
FNEL,Cw,Cw_Kootenay,2012,2022,100,0,0,0,0,5_Fail,5_Fail,Data,Fort Nelson,BWBSmk,-123.15167,59.105
FNEL,Ep,BC_South_Int,2012,2022,75,0.14,0.14,1,0,5_Fail,5_Fail,Data,Fort Nelson,BWBSmk,-123.15167,59.105
FNEL,Fdc,63094,2012,2022,100,0,0,0,0,5_Fail,5_Fail,Data,Fort Nelson,BWBSmk,-123.15167,59.105
FNEL,Fdi,ID_north,2012,2022,100,0,0,0,0,5_Fail,5_Fail,Data,Fort Nelson,BWBSmk,-123.15167,59.105
FNEL,Hw,61145,2012,2022,100,0,0,0,0,5_Fail,5_Fail,Data,Fort Nelson,BWBSmk,-123.15167,59.105
FNEL,Lw,60779,2012,2022,100,1.7,1.29,8,0.1,5_Fail,5_Fail,Data,Fort Nelson,BWBSmk,-123.15167,59.105
FNEL,Pl,Montana_Idaho,2012,2022,100,0.79,0.55,35,0.19,4_Poor,4_Poor,Data,Fort Nelson,BWBSmk,-123.15167,59.105
FNEL,Py,ID_Plains,2012,2022,100,0.85,0.6,10,0.06,5_Fail,5_Fail,Data,Fort Nelson,BWBSmk,-123.15167,59.105
FNEL,Ss,63025,2012,2022,100,0,0,0,0,5_Fail,5_Fail,Data,Fort Nelson,BWBSmk,-123.15167,59.105
FNEL,Sx,60446,2012,2022,100,3.35,1.68,86,1.45,3_Fair,2_Good,Data,Fort Nelson,BWBSmk,-123.15167,59.105
FNEL,Yc,Kootenay,2012,2022,75,0.31,0.28,3,0.01,5_Fail,5_Fail,Data,Fort Nelson,BWBSmk,-123.15167,59.105
FORH,At,BC_South_Int,2011,2021,100,3.5,1.69,15,0.25,5_Fail,5_Fail,Data,Forest Hill CA,.,-120.73151,39.09182
FORH,Bg,Kootenay,2011,2021,100,1.92,1.11,27,0.3,4_Poor,4_Poor,Data,Forest Hill CA,.,-120.73151,39.09182
FORH,Cw,Cw_Kootenay,2011,2021,100,4.48,3.3,8,0.26,5_Fail,4_Poor,Data,Forest Hill CA,.,-120.73151,39.09182
FORH,Ep,BC_South_Int,2011,2021,100,7.72,4.22,25,1.05,5_Fail,4_Poor,Data,Forest Hill CA,.,-120.73151,39.09182
FORH,Fdc,SpringfieldOR,2011,2021,100,6.16,3.04,27,0.82,4_Poor,3_Fair,Data,Forest Hill CA,.,-120.73151,39.09182
FORH,Fdi,ID_north,2011,2021,100,4.59,2.24,54,1.21,4_Poor,3_Fair,Data,Forest Hill CA,.,-120.73151,39.09182
FORH,Hw,61145,2011,2021,100,0,0,0,0,5_Fail,5_Fail,Data,Forest Hill CA,.,-120.73151,39.09182
FORH,Lw,60779,2011,2021,100,7.17,3.25,17,0.55,5_Fail,4_Poor,Data,Forest Hill CA,.,-120.73151,39.09182
FORH,Pl,Montana_Idaho,2011,2021,100,7.5,4.73,91,4.31,1_Excellent,2_Good,Data,Forest Hill CA,.,-120.73151,39.09182
FORH,Pw,61256,2011,2021,100,5.06,3.38,91,3.08,2_Good,1_Excellent,Data,Forest Hill CA,.,-120.73151,39.09182
FORH,Py,Local,2011,2021,100,7.5,5.22,99,5.17,1_Excellent,1_Excellent,Data,Forest Hill CA,.,-120.73151,39.09182
FORH,Ss,63025,2011,2021,100,2.03,1.27,3,0.04,5_Fail,5_Fail,Data,Forest Hill CA,.,-120.73151,39.09182
FORH,Sx,60778,2011,2021,100,3.25,1.69,30,0.51,4_Poor,4_Poor,Data,Forest Hill CA,.,-120.73151,39.09182
FORH,Yc,Maritime,2011,2021,100,5.83,2.18,43,0.94,4_Poor,4_Poor,Data,Forest Hill CA,.,-120.73151,39.09182
FSJN,Ba,BC_South_Int,2011,2021,100,0.84,0.52,17,0.09,5_Fail,5_Fail,Data,Ft St John,BWBSmw1,-121.30372,56.54392
FSJN,Bl,BC_South_Int,2011,2021,100,1.42,0.78,55,0.43,4_Poor,4_Poor,Data,Ft St John,BWBSmw1,-121.30372,56.54392
FSJN,Cw,63035,2011,2021,100,0,0,0,0,5_Fail,5_Fail,Data,Ft St John,BWBSmw1,-121.30372,56.54392
FSJN,Ep,BC_South_Int,2011,2021,100,3.65,1.11,45,0.5,4_Poor,4_Poor,Data,Ft St John,BWBSmw1,-121.30372,56.54392
FSJN,Fdc,63022,2011,2021,100,0,0,0,0,5_Fail,5_Fail,Data,Ft St John,BWBSmw1,-121.30372,56.54392
FSJN,Fdi,63016,2011,2021,100,2.2,1,68,0.68,4_Poor,4_Poor,Data,Ft St John,BWBSmw1,-121.30372,56.54392
FSJN,Hw,Monashee,2011,2021,100,0.29,0.27,2,0.01,5_Fail,5_Fail,Data,Ft St John,BWBSmw1,-121.30372,56.54392
FSJN,Lw,ID_WA_north,2011,2021,100,4.23,2.3,82,1.89,3_Fair,3_Fair,Data,Ft St John,BWBSmw1,-121.30372,56.54392
FSJN,Pl,63055,2011,2021,100,4.32,2.82,75,2.11,2_Good,3_Fair,Data,Ft St John,BWBSmw1,-121.30372,56.54392
FSJN,Pw,60785,2011,2021,100,1.09,0.6,56,0.34,4_Poor,4_Poor,Data,Ft St John,BWBSmw1,-121.30372,56.54392
FSJN,Py,ID_Plains,2011,2021,100,2.21,1.35,75,1.01,4_Poor,3_Fair,Data,Ft St John,BWBSmw1,-121.30372,56.54392
FSJN,Sx,60446,2011,2021,100,3.44,1.82,79,1.44,3_Fair,2_Good,Data,Ft St John,BWBSmw1,-121.30372,56.54392
FSJN,Yc,Kootenay,2011,2021,100,0.41,0.25,3,0.01,5_Fail,5_Fail,Data,Ft St John,BWBSmw1,-121.30372,56.54392
GAVN,At,BC_South_Int,2010,2020,100,2.38,1.1,81,0.89,3_Fair,4_Poor,Data,Gavin Lake,ICHmk3,-121.66572,52.45811
GAVN,Bg,Kootenay,2010,2020,100,2.53,1.44,75,1.08,4_Poor,3_Fair,Data,Gavin Lake,ICHmk3,-121.66572,52.45811
GAVN,Fdc,63094,2010,2020,100,3.01,1.63,42,0.68,4_Poor,4_Poor,Data,Gavin Lake,ICHmk3,-121.66572,52.45811
GAVN,Fdi,63058,2010,2020,100,3.72,2.2,86,1.89,3_Fair,2_Good,Data,Gavin Lake,ICHmk3,-121.66572,52.45811
GAVN,Hw,Monashee,2010,2020,100,2.56,1.59,73,1.16,4_Poor,4_Poor,Data,Gavin Lake,ICHmk3,-121.66572,52.45811
GAVN,Lw,ID_WA_north,2010,2020,100,4.96,2.69,76,2.04,2_Good,2_Good,Data,Gavin Lake,ICHmk3,-121.66572,52.45811
GAVN,Pl,Montana_Idaho,2010,2020,100,5.91,4.3,97,4.17,1_Excellent,2_Good,Data,Gavin Lake,ICHmk3,-121.66572,52.45811
GAVN,Pw,61256,2010,2020,100,3.81,1.81,83,1.5,3_Fair,2_Good,Data,Gavin Lake,ICHmk3,-121.66572,52.45811
GAVN,Py,BC_south_Int,2010,2020,100,3.83,2.58,97,2.5,2_Good,2_Good,Data,Gavin Lake,ICHmk3,-121.66572,52.45811
GAVN,Sx,60777,2010,2020,100,3.33,1.64,95,1.56,3_Fair,2_Good,Data,Gavin Lake,ICHmk3,-121.66572,52.45811
GAVN,Yc,Maritime,2010,2020,100,2.01,1.09,78,0.85,3_Fair,3_Fair,Data,Gavin Lake,ICHmk3,-121.66572,52.45811
GLEN,At,BC_South_Int,2010,2020,100,3.4,1.71,69,1.18,4_Poor,4_Poor,Data,Glenmerry,ICHmw2,-117.96889,49.20444
GLEN,Ba,BC_South_Int,2010,2020,100,3.73,0.87,31,0.27,4_Poor,4_Poor,Data,Glenmerry,ICHmw2,-117.96889,49.20444
GLEN,Bg,Kootenay,2010,2020,100,2.6,1.07,65,0.7,4_Poor,4_Poor,Data,Glenmerry,ICHmw2,-117.96889,49.20444
GLEN,Bl,BC_South_Int,2010,2020,100,2.24,1.01,63,0.64,4_Poor,4_Poor,Data,Glenmerry,ICHmw2,-117.96889,49.20444
GLEN,Fdc,63022,2010,2020,100,1.05,0.73,6,0.04,5_Fail,5_Fail,Data,Glenmerry,ICHmw2,-117.96889,49.20444
GLEN,Fdi,Local,2010,2020,100,3.18,1.45,76,1.1,3_Fair,3_Fair,Data,Glenmerry,ICHmw2,-117.96889,49.20444
GLEN,Hw,Monashee,2010,2020,100,1.52,0.78,18,0.14,5_Fail,5_Fail,Data,Glenmerry,ICHmw2,-117.96889,49.20444
GLEN,Lw,60779,2010,2020,100,5.01,2.93,75,2.2,2_Good,2_Good,Data,Glenmerry,ICHmw2,-117.96889,49.20444
GLEN,Pl,Local,2010,2020,100,4.06,2.59,86,2.23,2_Good,3_Fair,Data,Glenmerry,ICHmw2,-117.96889,49.20444
GLEN,Pw,61256,2010,2020,100,2.25,1.25,79,0.99,3_Fair,3_Fair,Data,Glenmerry,ICHmw2,-117.96889,49.20444
GLEN,Py,BC_south_Int,2010,2020,100,2.83,1.54,66,1.01,4_Poor,4_Poor,Data,Glenmerry,ICHmw2,-117.96889,49.20444
GLEN,Ss,63025,2010,2020,100,1.32,0.89,12,0.11,5_Fail,5_Fail,Data,Glenmerry,ICHmw2,-117.96889,49.20444
GLEN,Sx,60752,2010,2020,100,2.78,1.52,78,1.18,3_Fair,2_Good,Data,Glenmerry,ICHmw2,-117.96889,49.20444
GLEN,Yc,Kootenay,2010,2020,100,2.45,1.2,86,1.03,3_Fair,3_Fair,Data,Glenmerry,ICHmw2,-117.96889,49.20444
GOLD,At,BC_South_Int,2012,2022,100,3.7,1.39,14,0.19,5_Fail,5_Fail,Data,Golden,ICHmw1,-117.71028,51.8025
GOLD,Ba,BC_South_Int,2012,2022,100,1.91,0.94,52,0.49,4_Poor,4_Poor,Data,Golden,ICHmw1,-117.71028,51.8025
GOLD,Bl,BC_South_Int,2012,2022,100,1.8,1,46,0.46,4_Poor,4_Poor,Data,Golden,ICHmw1,-117.71028,51.8025
GOLD,Cw,63035,2012,2022,100,2.68,1.68,51,0.86,4_Poor,4_Poor,Data,Golden,ICHmw1,-117.71028,51.8025
GOLD,Ep,BC_South_Int,2012,2022,100,4.22,2.36,64,1.51,3_Fair,4_Poor,Data,Golden,ICHmw1,-117.71028,51.8025
GOLD,Fdc,SpringfieldOR,2012,2022,100,4.42,2.51,62,1.56,3_Fair,3_Fair,Data,Golden,ICHmw1,-117.71028,51.8025
GOLD,Fdi,Local,2012,2022,100,4.16,2.23,67,1.49,4_Poor,3_Fair,Data,Golden,ICHmw1,-117.71028,51.8025
GOLD,Hw,61145,2012,2022,100,3,1.89,49,0.93,4_Poor,4_Poor,Data,Golden,ICHmw1,-117.71028,51.8025
GOLD,Lw,Local,2012,2022,100,5.98,3.54,72,2.55,2_Good,3_Fair,Data,Golden,ICHmw1,-117.71028,51.8025
GOLD,Pl,63018,2012,2022,100,6.13,4.11,75,3.09,2_Good,2_Good,Data,Golden,ICHmw1,-117.71028,51.8025
GOLD,Pw,61256,2012,2022,100,3.75,1.74,76,1.32,3_Fair,2_Good,Data,Golden,ICHmw1,-117.71028,51.8025
GOLD,Py,ID_Plains,2012,2022,100,3.9,2.64,81,2.14,2_Good,2_Good,Data,Golden,ICHmw1,-117.71028,51.8025
GOLD,Ss,63025,2012,2022,100,3.07,1.76,57,1,4_Poor,4_Poor,Data,Golden,ICHmw1,-117.71028,51.8025
